Date,Open,High,Low,Close,Adj Close,Volume
9/26/2012,375.300293,381.001007,370.87088,377.107117,377.107117,11334400
9/27/2012,380.355347,381.801788,376.201202,378.628632,378.628632,7854300
9/28/2012,377.452454,380.030029,375.950958,377.627625,377.627625,5561400
10/1/2012,379.904907,382.882874,378.48349,381.271271,381.271271,6329600
10/2/2012,382.982971,383.378387,375.510498,378.873871,378.873871,5574800
10/3/2012,378.238251,382.342346,376.476471,381.631622,381.631622,4412100
10/4/2012,381.756744,385.330322,380.080078,384.409424,384.409424,4903400
10/5/2012,385.740753,387.577576,382.887878,384.209198,384.209198,5466300
10/8/2012,380.88089,382.17218,377.452454,379.299286,379.299286,3913200
10/9/2012,380.21521,381.041046,371.636627,372.417419,372.417419,6000300
10/10/2012,371.3013,374.13913,369.514526,372.652649,372.652649,4075700
10/11/2012,376.826813,379.629639,375.520508,376.116119,376.116119,4763000
10/12/2012,376.3013,377.812805,372.422424,372.747742,372.747742,4803500
10/15/2012,371.341339,372.287292,365.715729,370.86087,370.86087,6032100
10/16/2012,370.435425,373.868866,368.598602,372.722717,372.722717,4112200
10/17/2012,372.347351,378.548553,370.500488,378.123108,378.123108,4581200
10/18/2012,378.148163,380.090088,338.338348,347.847839,347.847839,24859900
10/19/2012,353.143158,353.703705,336.336334,341.236237,341.236237,22941400
10/22/2012,340.845856,342.657654,335.185181,339.674683,339.674683,8103000
10/23/2012,336.341339,344.009003,336.336334,340.515503,340.515503,5827300
10/24/2012,343.743744,343.843842,337.972961,338.988983,338.988983,4988000
10/25/2012,340.340332,341.341339,337.092102,339.219208,339.219208,4797300
10/26/2012,338.588593,341.856842,335.935944,337.912903,337.912903,3897600
10/31/2012,340.270264,340.840851,337.83783,340.490479,340.490479,3070900
11/1/2012,340.090088,345.795807,339.699707,344.13913,344.13913,4096000
11/2/2012,347.742737,348.123108,344.029022,344.304291,344.304291,4644100
11/5/2012,342.59259,343.773773,338.118103,341.821808,341.821808,3268500
11/6/2012,343.083069,343.593597,339.114105,341.201202,341.201202,3162400
11/7/2012,337.83783,339.454468,333.578583,333.89389,333.89389,4460100
11/8/2012,335.435425,336.081085,325.940948,326.471466,326.471466,5188800
11/9/2012,327.652649,334.504517,325.475464,331.846832,331.846832,6221900
11/12/2012,332.207214,335.235229,330.765778,333.283295,333.283295,2808900
11/13/2012,331.831818,334.134125,329.444458,329.854858,329.854858,3185200
11/14/2012,330.660675,331.421417,325.575562,326.601593,326.601593,3333400
11/15/2012,325.325317,330.330322,322.272278,323.953949,323.953949,3694100
11/16/2012,323.318329,326.836823,318.318329,323.91391,323.91391,6869500
11/19/2012,328.178192,334.7948,328.093079,334.439453,334.439453,4731600
11/20/2012,335.090088,339.339325,332.617615,335.320313,335.320313,4173200
11/21/2012,334.829834,335.235229,330.530518,333.26828,333.26828,4220100
11/23/2012,335.320313,335.335327,333.383392,334.319305,334.319305,1843100
11/26/2012,333.553558,333.833832,329.839844,330.905914,330.905914,4404700
11/27/2012,330.415405,337.83783,329.329315,335.690704,335.690704,5012300
11/28/2012,334.339325,342.797791,332.277283,342.177185,342.177185,6077900
11/29/2012,344.234222,347.297302,341.341339,346.29129,346.29129,5547400
11/30/2012,346.001007,349.959961,343.188202,349.534546,349.534546,6320800
12/3/2012,351.471466,353.298309,347.402405,347.972961,347.972961,4380600
